window_idx,mid_date,mean_realized_vol,peak_realized_vol,mean_vix,peak_vix
0,2003-07-07,0.157316063428181,0.26593699792640596,21.95440474010649,34.689998626708984
1,2003-08-05,0.14954239190147167,0.26593699792640596,20.988968232321362,34.33000183105469
2,2003-09-04,0.14445514868518827,0.26593699792640596,19.615952366874332,33.61000061035156
3,2003-10-03,0.13808218310837803,0.2645133665032843,18.60634918439956,29.1299991607666
4,2003-11-03,0.13347474704347076,0.1839274573183593,18.00301586635529,22.71999931335449
5,2003-12-03,0.13317673533206142,0.1839274573183593,17.790119023550126,22.71999931335449
6,2004-01-05,0.1297587033947149,0.17569911281850648,17.37916666742355,22.71999931335449
7,2004-02-04,0.1262051413417477,0.17569911281850648,17.065436503243824,22.71999931335449
8,2004-03-05,0.13019641497358675,0.18025655099298254,16.856825374421618,22.71999931335449
9,2004-04-05,0.1287803837234293,0.18025655099298254,16.37698411563086,21.57999992370605
10,2004-05-05,0.12629959604262406,0.18025655099298254,16.170912685848418,21.57999992370605
11,2004-06-04,0.125489174471754,0.18025655099298254,15.833452368539477,21.57999992370605
12,2004-07-07,0.12326753207693396,0.18025655099298254,15.46392856325422,21.57999992370605
13,2004-08-05,0.1256294733061692,0.18025655099298254,15.226309503827776,21.57999992370605
14,2004-09-03,0.12564079862187114,0.18025655099298254,14.910515860905724,21.57999992370605
15,2004-10-05,0.1226408168551732,0.18025655099298254,14.515277775507125,19.959999084472656
16,2004-11-03,0.12234767528129883,0.18025655099298254,14.414920621448093,19.959999084472656
17,2004-12-03,0.12186493874927366,0.18025655099298254,14.080912688421824,19.34000015258789
18,2005-01-04,0.11858601690739709,0.18025655099298254,13.79607141585577,19.34000015258789
19,2005-02-03,0.11770999522015638,0.18025655099298254,13.42674602402581,19.34000015258789
20,2005-03-07,0.1123524242574901,0.17571321046470967,13.136031756325373,17.739999771118164
21,2005-04-06,0.11202462088566108,0.17571321046470967,13.024246041736905,17.739999771118164
22,2005-05-05,0.11376039151999323,0.17571321046470967,13.005753967497084,17.739999771118164
23,2005-06-06,0.11559727730973733,0.17571321046470967,12.898095240668646,17.739999771118164
24,2005-07-06,0.115111914038248,0.17571321046470967,12.795396831300524,17.739999771118164
25,2005-08-04,0.11407730619354084,0.17571321046470967,12.703333343778338,17.739999771118164
26,2005-09-02,0.11247075995049938,0.17571321046470967,12.747500003330291,17.739999771118164
27,2005-10-04,0.11090853231268136,0.17571321046470967,12.598531741944571,17.739999771118164
28,2005-11-02,0.10727092384743508,0.17539397098445864,12.382301584122674,16.469999313354492
29,2005-12-02,0.10513607807174846,0.17323304406378678,12.49714285986764,18.65999984741211
30,2006-01-04,0.11293411034826457,0.19605499958009387,12.918095232948424,23.809999465942383
31,2006-02-03,0.11930241460380438,0.19605499958009387,13.273690462112427,23.809999465942383
32,2006-03-07,0.12283291357901087,0.19605499958009387,13.273015854850648,23.809999465942383
33,2006-04-05,0.12270253762604826,0.19605499958009387,13.241428545543126,23.809999465942383
34,2006-05-05,0.11928243468078036,0.19605499958009387,12.921428551749578,23.809999465942383
