start_date,end_date,n_days,observed_signed_wj,null_mean,null_std,z_score,p_value_two_sided,p_value_one_sided_low
2008-07-08,2009-05-07,462,0.9162646989580355,0.9743781627087356,0.0026807942232490935,-21.67770403513745,0.0,0.0
2017-01-09,2017-09-08,420,0.9038794343393749,0.9731875176285641,0.0027501114827887542,-25.201917712407532,0.0,0.0
2020-01-10,2020-01-10,252,0.9190184874380954,0.9653085458406203,0.0035695587641782337,-12.968005700609762,0.0,0.0
2020-05-12,2020-08-11,315,0.9264268223314321,0.969066667046053,0.0030774038334289047,-13.855784623206482,0.0,0.0
2022-07-13,2022-08-11,273,0.9226863589437785,0.9667224212555444,0.003336517021515942,-13.198212995106559,0.0,0.0
