start_date,end_date,min_signed_wj,min_date,n_windows
2008-07-08,2009-05-07,0.8653548955917358,2008-10-06,11
2017-01-09,2017-09-08,0.8678638935089111,2017-07-11,9
2020-01-10,2020-01-10,0.9001118540763855,2020-01-10,1
2020-05-12,2020-08-11,0.8957494497299194,2020-07-13,4
2022-07-13,2022-08-11,0.9024301767349243,2022-07-13,2
