episode,start_date,end_date,direction,n_days,wj_unsigned_spearman,wj_signed_spearman,binary_jaccard,frobenius_distance,type1_gap_continuous_minus_binary,type2_gap_signed_minus_unsigned,wj_unsigned_pearson,spearman_pearson_delta,ci_low_unsigned,ci_high_unsigned,mean_realized_vol_annualized,peak_realized_vol_annualized,binary_threshold_value
1,2008-05-07,2009-05-07,CONVERGENCE,504,0.7402101517527703,0.9180834777173468,0.13711661061191707,0.09718819562904271,0.6030935411408532,0.1778733259645765,0.7185128497154847,0.021697302037285593,0.6949948772853264,0.7789551117153384,0.46425810197466255,0.8989226311836834,0.5016688778014874
2,2016-12-07,2017-09-08,DIVERGENCE,441,0.6811796060121819,0.9157099590445951,0.37877537547450074,0.09537593919880037,0.3024042305376811,0.2345303530324132,0.6426925548946496,0.038487051117532256,0.6077885292971779,0.7370368414684518,0.0849481896004356,0.13224342547243248,0.5016688778014874
3,2020-01-10,2020-01-10,CONVERGENCE,252,0.7391037741480907,0.9190184874380954,0.13848952674533188,0.09786241789610363,0.6006142474027588,0.17991471329000475,0.6193465641901249,0.1197572099579658,0.6804665961466831,0.7622476737984104,,,0.5016688778014874
4,2020-05-12,2020-08-11,CONVERGENCE,315,0.75426722444797,0.9264268223314321,0.17337756174461377,0.0896197571461195,0.5808896627033562,0.17215959788346213,0.6524606369726605,0.10180658747530946,0.7097467531619596,0.762536951226096,0.32789501071833255,0.5580282296922857,0.5016688778014874
5,2024-01-12,2024-01-12,DIVERGENCE,252,0.6985749407563578,0.9191445030577605,0.3415184871577759,0.09608798048163168,0.35705645359858196,0.22056956230140268,0.587497302918988,0.11107763783736979,0.6269566226238501,0.726217278125072,,,0.5016688778014874
6,2024-05-14,2024-08-14,DIVERGENCE,315,0.6903208925411833,0.917449293041016,0.3688714824485059,0.09582333203561418,0.3214494100926774,0.22712840049983263,0.5745056149075234,0.11581527763365995,0.6220837597288532,0.7294027894367336,0.12315494824032945,0.20133339845336623,0.5016688778014874
