window_idx,mid_date,wj_unsigned,wj_signed,binary_jaccard,type1_gap,type2_gap,sign_inversion_pct
0,2003-07-07,0.7403903199796855,0.9298645901871944,0.2714331585143958,0.4689571614652897,0.18947427020750884,72.98428556003091
1,2003-08-05,0.7160024253148752,0.9244175160044569,0.25032274722437386,0.46567967809050137,0.20841509068958164,73.38622201990869
2,2003-09-04,0.7093131271537577,0.9231900790875252,0.23608473338203068,0.47322839377172704,0.21387695193376743,73.57640537379781
3,2003-10-03,0.7058775712170504,0.922953888854932,0.2220666044195456,0.4838109667975048,0.2170763176378816,73.80474808946825
4,2003-11-03,0.7089255253482158,0.9239052859101047,0.2211189913317573,0.48780653401645857,0.21497976056188883,73.85730432703578
5,2003-12-03,0.7149888009232592,0.9254459168911813,0.2232469391000159,0.4917418618232433,0.21045711596792205,73.84170048393621
6,2004-01-05,0.7079342156068474,0.9237238895151132,0.20631881282910483,0.5016154027777426,0.21578967390826576,73.88392801869226
7,2004-02-04,0.7061146973849429,0.9233900629191091,0.19768003866602224,0.5084346587189207,0.21727536553416615,73.93202844810591
8,2004-03-05,0.7371804067443728,0.9311330655910648,0.2219348950410709,0.5152455117033019,0.193952658846692,73.7968796177411
9,2004-04-05,0.7184821602821023,0.9264966244828564,0.20003180155827635,0.5184503587238259,0.2080144642007541,73.89033121638062
10,2004-05-05,0.7235211740277764,0.9277773851154775,0.2155622331171912,0.5079589409105851,0.2042562110877011,73.87770487285765
11,2004-06-04,0.7201728493086608,0.9269291515556437,0.2276707530647986,0.4925020962438622,0.20675630224698294,73.88714845438412
12,2004-07-07,0.7233485867707417,0.927701474128218,0.23001918158567775,0.4933294051850639,0.20435288735747636,73.86656188455149
13,2004-08-05,0.7497165712047144,0.9342341002702905,0.24705334987593053,0.5026632213287838,0.18451752906557617,73.72343025414544
14,2004-09-03,0.7546310706641954,0.9353683097244581,0.262901507078703,0.4917295635854924,0.18073723906026262,73.65938285238677
15,2004-10-05,0.7265794489183733,0.9284167221102849,0.2365730975174428,0.4900063514009305,0.20183727319191158,73.81934985993621
16,2004-11-03,0.7508448336137106,0.9344601631357184,0.2645418326693227,0.4863030009443879,0.18361532952200788,73.69517244419937
17,2004-12-03,0.744544969034343,0.9328472212201673,0.2662862577270566,0.47825871130728637,0.1883022521858243,73.71248531454421
18,2005-01-04,0.7349229869050183,0.9303904897110098,0.2565927843391037,0.47833020256591463,0.19546750280599146,73.7398918615218
19,2005-02-03,0.7328803973724868,0.9298353336399471,0.2616400837763815,0.4712403135961053,0.1969549362674603,73.73286510241837
20,2005-03-07,0.7037004204817677,0.9224313183287924,0.24019044491873257,0.4635099755630352,0.2187308978470247,73.82086002371983
21,2005-04-06,0.7023820476749393,0.922060989340302,0.23753086419753086,0.4648511834774084,0.21967894166536273,73.81239604304099
22,2005-05-05,0.7277194176651938,0.9281594419769899,0.2612264606470304,0.46649295701816335,0.20044002431179608,73.61524740142052
23,2005-06-06,0.7245604664738512,0.927448619499149,0.24504065040650405,0.47951981606734717,0.20288815302529783,73.65977949059977
24,2005-07-06,0.7221767306224778,0.9269234604409792,0.24671745825903713,0.47545927236344065,0.2047467298185014,73.69675343510545
25,2005-08-04,0.708131234383824,0.9233806597437068,0.22882197220383851,0.4793092621799855,0.21524942535988278,73.74870171717791
26,2005-09-02,0.6973199997745814,0.9207246925811181,0.214703425229741,0.48261657454484036,0.22340469280653674,73.8088716268527
27,2005-10-04,0.6871126219795893,0.9182074641095718,0.21153846153846154,0.47557416044112777,0.23109484212998244,73.8587934074181
28,2005-11-02,0.6379213222449297,0.9057355054983275,0.1807977896736315,0.45712353257129823,0.2678141832533978,73.96574272582875
29,2005-12-02,0.6673591923594767,0.913215983333733,0.18722088629336997,0.48013830606610675,0.24585679097425628,73.91059224457742
30,2006-01-04,0.7065966694029722,0.9232415911714114,0.2146357951664695,0.4919608742365027,0.2166449217684392,73.83860344311776
31,2006-02-03,0.732465252833186,0.9298111722693547,0.23676787788286047,0.4956973749503255,0.19734591943616875,73.76459376812055
32,2006-03-07,0.7277974216966292,0.9287860160078831,0.23941557363440147,0.48838184806222773,0.20098859431125393,73.83787308849492
33,2006-04-05,0.725566784366649,0.9282483715678644,0.24341238471673254,0.48215439964991647,0.20268158720121543,73.85461221720429
34,2006-05-05,0.693289595251101,0.9201396826734649,0.21575227196230226,0.4775373232887987,0.2268500874223639,73.96230578094799
35,2006-06-06,0.6944689023374769,0.9205061692090295,0.20987030486777833,0.4845985974696986,0.22603726687155257,73.98175459089403
36,2006-07-06,0.6919140906087086,0.919833688218618,0.21180613785007546,0.4801079527586331,0.22791959760990943,73.97923457785764
37,2006-08-04,0.6962141661699262,0.9209609874338757,0.22107369123041012,0.47514047493951606,0.22474682126394951,73.9819952860818
38,2006-09-05,0.7253632151178471,0.9283090331667709,0.2484461890742558,0.47691702604359126,0.20294581804892387,73.89607992097935
39,2006-10-04,0.7505543292793316,0.9344823867666312,0.2827258320126783,0.4678284972666533,0.18392805748729957,73.73471624338751
40,2006-11-02,0.7548910917800136,0.93556496652085,0.28743625405656004,0.46745483772345353,0.1806738747408364,73.71167211053819
41,2006-12-04,0.7359627627020776,0.9310100356647203,0.25176848874598073,0.4841942739560969,0.19504727296264268,73.87112323954672
42,2007-01-05,0.7325430774389441,0.9300276893951228,0.2542815201435329,0.4782615572954112,0.19748461195617872,73.83791380875412
43,2007-02-06,0.7528303083447402,0.9349833613814373,0.27008354755784064,0.48274676078689954,0.18215305303669715,73.69554568638428
44,2007-03-08,0.7797670754242986,0.9410962523571789,0.2895867278921641,0.49018034753213446,0.1613291769328803,73.25388664918994
45,2007-04-09,0.7869193775728689,0.9424960514577171,0.29609253773451827,0.4908268398383506,0.1555766738848482,73.01305586248323
46,2007-05-08,0.7913000829039237,0.9432298599950789,0.30136090028788276,0.48993918261604097,0.15192977709115518,72.7981971460072
47,2007-06-07,0.8016670931464284,0.94520020269667,0.3098484848484849,0.4918186082979435,0.14353310955024168,72.36979068542144
48,2007-07-09,0.8041915437625242,0.9448109856531769,0.29223202170963364,0.5119595220528905,0.14061944189065267,71.81479523034997
49,2007-08-07,0.7988456891103857,0.9426113888816009,0.2600419874037789,0.5388037017066067,0.14376569977121523,71.47035484121852
50,2007-09-06,0.7978368027424999,0.9424988540423513,0.2624043792546845,0.5354324234878154,0.14466205129985144,71.55706541165944
51,2007-10-05,0.7964413346417273,0.9414345500489939,0.2447875983897134,0.5516537362520139,0.14499321540726662,71.22920321376239
52,2007-11-05,0.7962064854777537,0.9412715285257276,0.24125616461651833,0.5549503208612354,0.14506504304797385,71.18236485005436
53,2007-12-05,0.7926291309468331,0.9401337513757314,0.22800833199807724,0.5646207989487558,0.14750462042889834,71.13083004492799
54,2008-01-07,0.7906503978928374,0.939471780039029,0.21943091514996155,0.5712194827428758,0.14882138214619156,71.08749223703438
55,2008-02-06,0.787675713326559,0.9391823325206119,0.21919296430419039,0.5684827490223685,0.15150661919405295,71.35623605182441
56,2008-03-07,0.778194321895702,0.9361779131934688,0.2111362215704188,0.5670581003252833,0.15798359129776673,71.22612579082819
57,2008-04-08,0.7737701401814763,0.9334225274661453,0.18721551553532556,0.5865546246461507,0.15965238728466902,70.57087309904114
58,2008-05-07,0.7602459900424217,0.9272126033242976,0.15713149944347274,0.603114490598949,0.1669666132818759,69.64080113255193
59,2008-06-06,0.7168681079559098,0.9092160680275908,0.11611800289308727,0.6007501050628226,0.19234796007168098,67.935815595697
60,2008-07-08,0.7135173498931412,0.9077751858597772,0.11358413481998468,0.5999332150731566,0.19425783596663604,67.80788850360653
61,2008-08-06,0.7013023528423753,0.9024637449559799,0.10558157689305231,0.595720775949323,0.20116139211360462,67.34615890946421
62,2008-09-05,0.683756927318934,0.8948045370799181,0.09593459084411282,0.5878223364748212,0.21104760976098413,66.73588387936881
63,2008-10-06,0.6737049668669577,0.8902975714698055,0.09176070183554447,0.5819442650314133,0.2165926046028478,66.37937529209498
64,2008-11-04,0.6704244189693933,0.8887953413210958,0.09050514878780508,0.5799192701815883,0.21837092235170252,66.25822267197128
65,2008-12-04,0.6639085520667041,0.8858180892268213,0.08796992481203007,0.575938627254674,0.2219095371601172,66.02653489837074
66,2009-01-06,0.6630440252760488,0.885404008606188,0.08737366680639001,0.5756703584696587,0.22235998333013918,65.99081185971136
67,2009-02-05,0.6598312249453571,0.8839431394589125,0.08521424993548975,0.5746169750098673,0.2241119145135554,65.88256505246703
68,2009-03-09,0.6583653595878194,0.8832762959116455,0.0842796469773186,0.5740857126105008,0.22491093632382608,65.83376207180632
69,2009-04-07,0.6726535882862159,0.8897592594273037,0.09133033155955791,0.581323256726658,0.2171056711410878,66.32291156162559
70,2009-05-07,0.6913540185517565,0.8981464491352542,0.10135983834853367,0.5899941802032228,0.20679243058349772,66.99987785785395
71,2009-06-08,0.7358424628026332,0.9169408916728803,0.13048535220141025,0.605357110601223,0.18109842887024707,68.55697959318056
72,2009-07-08,0.7480716776490572,0.921930224989062,0.14182782450313386,0.6062438531459233,0.17385854734000472,69.01111622448516
73,2009-08-06,0.7583338709412732,0.9258230939915554,0.15283664104287845,0.6054972298983948,0.16748922305028213,69.30603957726362
